,季節,季語,読み仮名,傍題
359,春,ネクタリン,ねくたりん,椿桃・光桃・油桃
360,春,猫の子,ねこのこ,子猫・猫の親・猫の産
361,春,猫の恋,ねこのこい,恋猫・猫交る・うかれ猫・猫の夫・猫の妻・春の猫・孕猫
362,春,猫柳,ねこやなぎ,
363,春,ねぢあやめ,ねぢあやめ,馬藺
364,春,ねぢあやめ,ねぢあやめ,馬蘭
365,春,涅槃会,ねはんえ,涅槃・涅槃の日・仏忌・涅槃像・涅槃絵・涅槃図・涅槃寺・寝釈迦・餅花煎・釈迦の鼻糞・瘠せ馬
366,春,涅槃西風,ねはんにし,涅槃吹・彼岸西風
367,春,根分,ねわけ,菖蒲根分
368,春,野遊び,のあそび,山遊び・野がけ・春遊び・ピクニック
369,春,乗込鮒,のっこみぶな,乗つ込み・初鮒・春の鮒・春鮒釣り
370,春,長閑,のどか,長閑さ・のどけし・のどけさ
371,春,野蒜,のびる,ひる
372,春,上り簗,のぼりやな,
373,春,野焼く,のやく,野焼・野火・草焼く
374,春,海苔,のり,甘海苔・岩海苔・海苔ひび・海苔粗朶・海苔舟・海苔採・海苔掻く・海苔干す
375,春,蠅生る,はえうまる,蠅の子
376,春,萩根分,はぎねわけ,萩植う
377,春,白鳥帰る,はくちょうかえる,
378,春,はこべ,はこべ,はこべら・あさしらげ
379,春,蓮植う,はすうう,
380,春,畑打,はたうち,畑打つ・畑鋤く・畑返す
381,春,畑焼く,はたやく,畑焼・畦焼く・畦焼・畦火
382,春,斑雪,はだれ,斑雪・はだら雪・はだら・はだれ野
383,春,蜂,はち,蜜蜂・女王蜂・働蜂・熊蜂・穴蜂・土蜂・足長蜂・蜂の巣
384,春,八十八夜,はちじゅうはちや,
385,春,初午,はつうま,一の午・二の午・三の午・午祭・稲荷講・福参・験の杉
386,春,初桜,はつざくら,初花
387,春,初蝶,はつちょう,
388,春,花,はな,花盛り・花明り・花影・花時・花過ぎ・花の雨・花の山・花の昼・花の雲・花埃・花便り・花の宿・花片
389,春,花烏賊,はないか,桜烏賊・甲烏賊・真烏賊
390,春,花換祭,はなかえまつり,花換
391,春,花篝,はなかがり,花雪洞
392,春,花曇,はなぐもり,養花天
393,春,花衣,はなごろも,花見衣
394,春,鎮花祭,はなしずめまつり,鎮花祭・花鎮め
395,春,紫荊,はなずおう,すはうばな・花蘇枋・花蘇芳
396,春,花大根,はなだいこん,諸葛菜・大あらせいとう
397,春,花種蒔く,はなだねまく,朝顔蒔く
398,春,花疲れ,はなづかれ,
399,春,花菜漬,はななづけ,
400,春,花韮,はなにら,西洋甘菜（せいようあまな）、スプリングスターフラワー
401,春,花盗人,はなぬすびと,
402,春,花冷え,はなびえ,
403,春,花見,はなみ,観桜・桜狩・花の宴・花筵・花見酒・花見客・花見人・花人
404,春,花守,はなもり,桜守・花の主
405,春,母子草,ははこぐさ,鼠麹草・ははこ・おぎやう・ごぎやう
406,春,蛤,はまぐり,蛤鍋・蒸蛤・焼蛤
407,春,孕雀,はらみすずめ,子持雀
408,春,針供養,はりくよう,針祭る・貼納め・納め針
409,春,春,はる,陽春・芳春
410,春,春浅し,はるあさし,浅き春・浅香
411,春,春暑し,はるあつし,春の暑さ・暑き春
412,春,春袷,はるあわせ,
413,春,春一番,はるいちばん,春二番・春三番
414,春,春大雪,はるおおゆき,
415,春,春惜しむ,はるおしむ,惜春・三月尽・弥生尽・四月尽
416,春,春北風,はるきた,春北風（はるならい）
417,春,春キャベツ,はるきゃべつ,
418,春,春炬燵,はるごたつ,春の炬燵
419,春,春雨,はるさめ,春の雨・春霖
420,春,春寒,はるざむ,春寒し・寒き春・春寒（しゅんかん）・料峭（りょうしょう・れうせう）
421,春,春時雨,はるしぐれ,春の驟雨
422,春,春ショール,はるしょーる,
423,春,春田,はるた,春の田・げんげ田・花田
424,春,春たのし,はるたのし,春愉し
425,春,春大根,はるだいこん,三月大根・二年子大根
426,春,春暖炉,はるだんろ,春の暖炉・春ストーブ
427,春,春の霰,はるのあられ,春霰
428,春,春の入江,はるのいりえ,
429,春,春の馬,はるのうま,春の駒・若駒・馬の子・孕馬
430,春,春の海,はるのうみ,春の浜・春の渚・春の磯
431,春,春の落葉,はるのおちば,春落葉
432,春,春の風邪,はるのかぜ,春風邪
433,春,春の鴨,はるのかも,残る鴨
434,春,春の蚊,はるのかも,春蚊・初蚊
435,春,春の雁,はるのかり,残る雁
436,春,春の川,はるのかわ,春川・春江
437,春,春の杭,はるのくい,
438,春,春の草,はるのくさ,春草・芳草・草芳し
439,春,春の雲,はるのくも,春雲
440,春,春の暮,はるのくれ,春の夕・春夕べ
441,春,春の鹿,はるのしか,春鹿・孕鹿
442,春,春の霜,はるのしも,春霜
443,春,春の蟬,はるのせみ,松蟬・春の蝉・松蝉
444,春,春の空,はるのそら,春空・春天
445,春,春の筍,はるのたけのこ,春笋
446,春,春の月,はるのつき,春月・春月夜・春満月
447,春,春の鳥,はるのとり,春禽・貌鳥
448,春,春の波,はるのなみ,春の浪・春濤・春怒濤・春の川波
449,春,春の虹,はるのにじ,初虹
450,春,春の野,はるのの,春野・はるぬ・春郊
451,春,春の蠅,はるのはえ,
452,春,春の日,はるのひ,春日・春日・春日影
453,春,春の灯,はるのひ,春燈・春の燈・春ともし・春の燭
454,春,春の星,はるのほし,春星
455,春,春の水,はるのみず,春水・水の春
456,春,春の霙,はるのみぞれ,春霙
457,春,春の山,はるのやま,春山・春嶺・弥生山・春山辺
458,春,春の闇,はるのやみ,
459,春,春の夕焼,はるのゆうやけ,春夕焼
460,春,春の雪,はるのゆき,春雪・春吹雪・淡雪・沫雪・牡丹雪
461,春,春の夢,はるのゆめ,
462,春,春の夜,はるのよ,春夜・夜半の春
463,春,春の宵,はるのよい,春宵・宵の春
464,春,春の炉,はるのろ,春炉・春囲炉裏・炉塞・炉の名残
465,春,春疾風,はるはやて,春疾風・春嵐・春荒れ・春北風
466,春,春日傘,はるひがさ,
467,春,春火鉢,はるひばち,春火桶
468,春,春深し,はるふかし,春闌く・春更く・春深む
469,春,春祭,はるまつり,
470,春,春めく,はるめく,春動く・春きざす
471,春,春休,はるやすみ,
472,春,春竜胆,はるりんどう,筆竜胆・苔竜胆
473,春,榛の花,はんのはな,榛の花・赤楊の花
474,春,薔薇の芽,ばらのめ,茨の芽
475,春,馬鈴薯植う,ばれいしょうう,
476,春,バレンタインデー,ばれんたいんでー,バレンタインの日
477,春,晩春,ばんしゅん,
478,春,彼岸,ひがん,お彼岸・入彼岸・彼岸過ぎ・彼岸婆
479,春,彼岸会,ひがんえ,彼岸詣・彼岸参・彼岸寺・お中日・彼岸団子・彼岸餅
480,春,彼岸桜,ひがんざくら,
481,春,引鴨,ひきがも,行く鴨・帰る鴨・鴨帰る
482,春,引鶴,ひきづる,鶴帰る・帰る鶴・去る鶴・残る鶴
483,春,蘖,ひこばえ,
484,春,菱餅,ひしもち,
485,春,鹿尾菜,ひじき,鹿尾菜・ひじき刈
486,春,干鱈,ひだら,ほしだら・棒鱈
487,春,羊の毛刈る,ひつじのけかる,羊毛剪る・羊剪毛・剪毛期
488,春,ひとで,ひとで,海星
489,春,人麻呂忌,ひとまろき,人麿忌・人丸忌・人丸祭
490,春,一人静,ひとりしずか,吉野静・まゆはき草
491,春,雛市,ひないち,雛店
492,春,雛納め,ひなおさめ,
493,春,日永,ひなが,永き日・永日・日永し
494,春,雛菊,ひなぎく,長命菊・延命菊・ときしらず・デージー
495,春,雛流し,ひなながし,雛送り・流し雛・捨雛
496,春,雛祭,ひなまつり,雛・ひひな・雛遊び・雛飾・雛人形・内裏雛・官女雛・五人囃・男雛・女雛・紙雛・立雛・土雛・雛壇・雛の調度・雛道具・雛菓子・雛あられ・雛の燈・雛の客・雛の宴・雛の宿・吊し雛
